EquipmentID,Timestamp,Temperature,Vibration,Pressure,OperationalLoad,Temperature_7d_avg,Vibration_7d_avg,Pressure_7d_avg,OperationalLoad_7d_avg,TimeSinceLastMaintenance,OperationalEfficiency,FailureFlag,PredictedFailure,FailureProbability,RecordID,MaintenanceDate,MaintenanceType,Description
Equip_007,01-01-2023 00:00,74.60259676,3.69998886,231.4816298,243.1274125,76.44018769,3.754253968,217.9668354,244.274567,1,3.104972978,0,0,0.704791349,Record_0001,01-01-2023 00:00,Corrective,Routine check-up
Equip_020,01-01-2023 01:00,66.02873385,7.407798672,669.1608056,340.0151117,71.50762643,5.572744718,456.5665355,281.9971478,1,4.630054007,0,0,0.691106799,Record_0002,01-01-2023 12:00,Preventive,Routine check-up
Equip_015,01-01-2023 02:00,54.32498954,7.841871792,633.6588456,471.735297,65.73867097,6.44500376,510.3966988,356.4795475,1,7.588211579,0,0,0.93415848,Record_0003,02-01-2023 00:00,Emergency,Routine check-up
Equip_011,01-01-2023 03:00,42.07381555,7.632851902,208.6645174,98.5389523,61.14212944,6.773188717,430.8983479,281.7222835,1,1.982409149,0,0,0.13688166,Record_0004,02-01-2023 12:00,Preventive,Routine check-up
Equip_008,01-01-2023 04:00,81.48650647,7.226117248,393.3811394,94.66706719,62.38566026,6.801198499,439.0520901,253.4045071,1,1.067120588,0,0,0.700424714,Record_0005,03-01-2023 00:00,Emergency,Routine check-up
Equip_007,01-01-2023 05:00,38.1017944,2.045043387,606.6833541,433.76275,60.52740125,5.784409598,469.5977261,285.6840634,1,10.80440637,0,0,0.446042476,Record_0006,03-01-2023 12:00,Corrective,Routine check-up
Equip_019,01-01-2023 06:00,75.38834449,3.379699792,268.4607481,277.8785171,61.34259751,5.55249936,438.7970293,285.0129695,1,3.52780775,0,0,0.180145338,Record_0007,04-01-2023 00:00,Preventive,Routine check-up
Equip_011,01-01-2023 07:00,38.66662581,4.69845435,820.5612908,394.8822606,56.02327105,5.63893194,497.711303,307.9900356,1,9.105996325,0,0,0.862556208,Record_0008,04-01-2023 12:00,Preventive,Routine check-up
Equip_011,01-01-2023 08:00,70.0264136,3.307929914,974.9408586,146.9398566,57.23533147,5.097225013,551.8545363,270.2127174,1,2.003697716,0,0,0.747678997,Record_0009,05-01-2023 00:00,Preventive,Routine check-up
Equip_004,01-01-2023 09:00,79.76626137,7.549402002,293.28346,422.9881579,58.92211305,5.166845433,491.29506,276.4362007,1,4.844356002,0,0,0.431532391,Record_0010,05-01-2023 12:00,Emergency,Routine check-up
Equip_008,01-01-2023 10:00,37.49711111,3.293535242,268.2207683,465.7309809,59.38341238,4.326610752,511.680336,310.026305,1,11.41759257,0,0,0.655360213,Record_0011,06-01-2023 00:00,Emergency,Routine check-up
Equip_003,01-01-2023 11:00,24.79546407,1.382320868,509.4415646,335.967357,50.69943553,3.474094756,540.4298603,353.6454134,1,12.83406361,0,0,0.728942301,Record_0012,06-01-2023 12:00,Preventive,Routine check-up
Equip_002,01-01-2023 12:00,30.47789944,3.99040452,772.9887494,97.64555966,49.5002093,3.917855836,559.0193337,301.4103687,1,2.832908744,0,0,0.430965382,Record_0013,07-01-2023 00:00,Corrective,Routine check-up
Equip_012,01-01-2023 13:00,68.47975738,9.799144328,353.4405492,452.8826664,49.30786672,4.977599708,578.5285074,335.8028717,1,5.785501029,0,0,0.39978645,Record_0014,07-01-2023 12:00,Emergency,Routine check-up
Equip_006,01-01-2023 14:00,87.9557125,2.258814129,117.8919178,406.6194773,58.20886021,4.323929573,472.088167,338.7864737,1,4.507250578,0,1,0.158833858,Record_0015,08-01-2023 00:00,Diagnostic,Routine check-up
Equip_002,01-01-2023 15:00,23.5997457,6.121586589,587.0985652,387.8949994,49.17186592,5.053220531,416.8562046,373.5520218,1,13.05106365,0,0,0.971935619,Record_0016,08-01-2023 12:00,Corrective,Routine check-up
Equip_001,01-01-2023 16:00,78.73210072,4.329730498,960.940511,66.52768501,50.34534756,4.407199878,510.441841,312.1193276,1,0.800941708,0,0,0.781912349,Record_0017,09-01-2023 00:00,Corrective,Routine check-up
Equip_012,01-01-2023 17:00,47.30549168,0.710245676,452.1491699,409.5331364,52.61550642,3.93190083,530.8517323,303.6357937,1,8.529143963,0,0,0.01147339,Record_0018,09-01-2023 12:00,Corrective,Routine check-up
Equip_012,01-01-2023 18:00,58.28226959,4.87876606,478.1210988,112.0779547,55.36859714,4.61109792,529.6669611,279.7074971,1,1.774479369,0,0,0.016073871,Record_0019,10-01-2023 00:00,Emergency,Routine check-up
Equip_017,01-01-2023 19:00,94.30876399,7.021643286,972.0115454,150.0737793,67.22021912,5.198077163,544.7337037,292.2222156,1,1.481034009,0,0,0.678026078,Record_0020,10-01-2023 12:00,Preventive,Routine check-up
Equip_010,01-01-2023 20:00,46.55772038,5.132199758,725.1468505,309.7106757,63.85767798,4.367431731,626.7174321,258.2894911,1,5.991703506,0,0,0.029709158,Record_0021,11-01-2023 00:00,Preventive,Routine check-up
