Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
keycloak_get_user_token,142,72,55,178,22.6,0.00%,0.47224,1.44,0.2,3132
Create_project,1,507,507,507,0,0.00%,1.97239,2.01,3.72,1044
register model (tar upload),141,480,374,1412,143.16,0.00%,0.46975,4.85,2169.44,10578
list models,140,91,73,155,15.15,0.00%,0.4713,0.63,0.82,1362.1
add-model-version,140,436,328,1916,173.43,0.00%,0.47087,9.45,2174.31,20558
explore-model,140,94,72,217,20.58,0.00%,0.47143,9.48,0.92,20590
feature_importance,140,100,82,220,17.62,0.00%,0.47155,0.87,0.93,1895
version_list,140,91,73,185,18.64,0.00%,0.47176,9.29,0.92,20170
decision_tree,140,120,101,246,19.97,0.00%,0.47175,142.56,0.93,309444
detailed_matrix,140,98,80,179,15.22,0.00%,0.47187,0.45,0.93,969
scatter_plot,140,98,81,238,18.82,0.00%,0.47197,0.24,0.93,510
confusion_matrix,140,100,81,166,15.09,0.00%,0.47207,0.41,0.93,897
Export Model,140,911,109,2079,649.69,40.00%,0.46979,1356.42,0.86,2956592.7
delete-version,139,128,88,512,56.58,0.00%,0.47247,0.23,0.98,504
resource,139,87,67,216,21.84,0.00%,0.47255,1.7,0.91,3678
deploy_model,139,858,153,3001,543.81,50.36%,0.47221,0.54,1.04,1177
stop_deploy_model,139,312,77,1322,280.51,50.36%,0.47234,0.23,0.97,498
delete model,139,200,143,611,74.1,0.00%,0.47223,0.23,0.87,504
Delete Project,1,196,196,196,0,0.00%,5.10204,3.45,9.34,693
TOTAL,2380,251,55,3001,344.06,8.24%,7.87336,1516.58,4305.72,197243.9
